,Age,KM,Weight,HP,MetColor,CC,Doors,Price
78,29.0,22575,1115.0,110,1,1600.0,5,16895
79,30.0,22000,1110.0,97,1,1400.0,5,14900
80,25.0,20019,1180.0,110,1,1600.0,5,18950
81,29.0,20000,1115.0,110,1,1600.0,5,17250
82,25.0,17003,1110.0,97,1,1400.0,5,15450
83,31.0,16238,1180.0,110,1,1600.0,5,17950
84,25.0,15414,1110.0,97,1,1400.0,5,16650
85,28.0,8537,1130.0,110,1,1600.0,5,17450
86,30.0,7000,1100.0,97,1,1400.0,5,14900
87,20.0,66966,1245.0,90,1,2000.0,3,17950
88,19.0,51884,1100.0,97,1,1400.0,3,15950
89,19.0,50005,1265.0,110,1,2000.0,3,21950
90,20.0,48110,1100.0,97,1,1400.0,3,16450
91,20.0,37500,1260.0,90,1,2000.0,3,22250
92,16.0,34472,1260.0,90,1,1995.0,3,19950
93,20.0,33329,1100.0,97,1,1400.0,3,15950
94,20.0,31850,1120.0,110,0,1600.0,3,18900
95,17.0,30351,1260.0,90,1,1995.0,3,19950
96,19.0,29435,1100.0,97,1,1400.0,3,15950
97,19.0,25948,1100.0,97,1,1400.0,3,15950
98,11.0,24500,1120.0,110,1,1600.0,3,18750
99,18.0,23902,1100.0,97,1,1400.0,3,17450
100,20.0,23175,1120.0,110,1,1600.0,3,18990
101,19.0,19200,1100.0,97,1,1400.0,3,16250
102,13.0,18000,1125.0,71,0,1400.0,3,18500
103,11.0,16123,1105.0,110,1,1600.0,3,18500
104,11.0,14635,1155.0,110,1,1600.0,3,19450
105,19.0,13748,1100.0,97,1,1400.0,3,16950
106,14.0,11500,1045.0,110,1,1600.0,3,18800
107,17.0,10000,1100.0,97,1,1400.0,3,17450
108,20.0,7187,1105.0,110,1,1600.0,3,17950
109,4.0,1,1320.0,116,0,2000.0,5,32500
110,4.0,4000,1320.0,116,1,2000.0,5,31000
111,4.0,1500,1320.0,116,1,2000.0,5,31275
112,8.0,13253,1320.0,116,1,2000.0,5,24950
114,7.0,10000,1270.0,116,1,2000.0,5,22950
115,8.0,6000,1280.0,90,1,2000.0,5,24990
116,8.0,10841,1270.0,90,1,2000.0,5,21950
117,7.0,1,1105.0,110,1,1600.0,3,17900
118,20.0,63000,1255.0,90,1,2000.0,5,19250
119,17.0,57313,1275.0,110,1,2000.0,5,22250
120,13.0,57037,1115.0,110,0,1600.0,5,18950
121,19.0,51099,1255.0,90,1,2000.0,5,19950
122,14.0,40010,1115.0,110,1,1600.0,5,16350
123,20.0,39115,1130.0,110,1,1600.0,5,18950
124,17.0,36012,1130.0,110,0,1600.0,5,16950
125,16.0,36000,1130.0,110,1,1600.0,5,21750
126,20.0,36000,1075.0,110,1,1600.0,5,15950
127,20.0,35000,1110.0,97,1,1400.0,5,16500
128,17.0,33740,1135.0,97,1,1400.0,5,17950
129,13.0,33477,1075.0,110,1,1600.0,5,15850
130,20.0,32627,1110.0,97,1,1400.0,5,16250
131,20.0,29797,1110.0,97,1,1400.0,5,15950
132,19.0,29441,1110.0,97,1,1400.0,5,16250
133,13.0,29371,1105.0,110,1,1600.0,4,15950
134,20.0,29000,1110.0,97,0,1400.0,5,16500
135,19.0,27821,1110.0,97,0,1400.0,5,16500
136,19.0,27371,1135.0,97,0,1400.0,5,18450
137,13.0,25170,1105.0,110,1,1600.0,5,16250
138,11.0,25000,1320.0,116,1,2000.0,5,23000
139,20.0,23000,1130.0,110,1,1600.0,5,19900
140,20.0,22588,1110.0,97,1,1400.0,5,16450
141,19.0,21684,1185.0,192,1,1800.0,5,23950
142,13.0,21428,1130.0,110,1,1600.0,5,19950
143,16.0,20629,1090.0,110,1,1600.0,4,18500
144,15.0,20270,1130.0,110,1,1600.0,5,18950
145,16.0,20105,1110.0,97,0,1400.0,5,16450
146,20.0,20000,1165.0,110,0,1600.0,5,20500
147,13.0,19988,1130.0,110,1,1600.0,5,24500
148,19.0,18328,1130.0,110,0,1600.0,5,19450
149,14.0,17896,1150.0,110,1,1600.0,4,20950
150,20.0,17300,1110.0,97,1,1400.0,5,17200
151,19.0,17038,1130.0,110,0,1600.0,5,19950
152,10.0,13747,1110.0,97,1,1400.0,5,18450
153,12.0,13634,1115.0,110,1,1600.0,5,19500
154,13.0,13178,1130.0,110,1,1600.0,5,21750
155,15.0,13157,1085.0,97,1,1400.0,4,16868
156,16.0,13000,1105.0,110,1,1600.0,4,19500
157,11.0,12500,1115.0,110,1,1600.0,5,18900
158,17.0,11999,1130.0,110,1,1600.0,5,19750
159,16.0,11754,1180.0,110,0,1600.0,5,19750
160,16.0,11000,1105.0,110,1,1600.0,4,18950
161,17.0,10000,1105.0,110,0,1598.0,5,20750
162,9.0,7650,1115.0,110,1,1600.0,5,19600
163,14.0,6500,1100.0,110,1,1600.0,4,19500
164,11.0,6155,1110.0,97,1,1400.0,5,17650
165,14.0,6000,1130.0,110,0,1600.0,5,19950
166,14.0,5459,1130.0,110,1,1600.0,5,19950
167,14.0,5278,1150.0,110,1,1600.0,4,20950
168,12.0,5000,1130.0,110,1,1600.0,5,20500
169,9.0,1,1065.0,98,1,1400.0,4,17795
170,9.0,1,1075.0,110,1,1600.0,5,18245
171,8.0,11000,1130.0,110,1,1600.0,5,23750
172,8.0,10077,1110.0,97,1,1400.0,5,19500
173,8.0,10000,1110.0,97,1,1400.0,5,18950
174,8.0,9788,1130.0,110,1,1600.0,5,21950
175,8.0,8574,1130.0,110,1,1600.0,5,19950
176,8.0,7000,1115.0,110,0,1600.0,5,18950
177,7.0,6250,1115.0,110,1,1600.0,5,19950
178,8.0,5000,1130.0,110,1,1600.0,5,21950
179,6.0,3000,1130.0,110,0,1600.0,5,22500
180,7.0,2000,1075.0,110,0,1600.0,5,18500
181,7.0,450,1110.0,97,1,1400.0,5,18700
182,2.0,225,1110.0,97,1,1400.0,5,21125
183,2.0,15,1130.0,110,1,1600.0,5,21500
184,1.0,1,1100.0,98,1,1400.0,4,17795
185,1.0,1,1075.0,110,1,1600.0,5,18245
186,43.0,243000,1110.0,69,0,1900.0,3,6950
187,38.0,180638,1160.0,90,0,2000.0,4,9500
188,40.0,179860,1205.0,90,1,2000.0,5,11950
189,43.0,178858,1084.0,110,0,1600.0,3,7750
190,40.0,161000,1105.0,69,1,1900.0,3,11950
191,44.0,158320,1110.0,69,0,1800.0,5,4350
192,44.0,131273,1110.0,69,1,1800.0,5,4750
193,40.0,130062,1140.0,69,1,1900.0,5,11750
194,41.0,123425,1140.0,69,1,1900.0,5,13250
195,37.0,118217,1075.0,110,1,1600.0,5,11950
196,44.0,110000,1095.0,69,1,1900.0,5,11900
197,39.0,108847,1205.0,90,1,2000.0,5,14750
198,42.0,105699,1025.0,97,1,1400.0,3,9950
199,39.0,98823,1119.0,110,1,1600.0,5,11950
200,44.0,96829,1075.0,110,1,1600.0,5,11495
201,40.0,96518,1025.0,97,1,1400.0,3,11250
202,42.0,92204,1075.0,110,1,1600.0,5,10500
203,35.0,91456,1110.0,69,1,1900.0,3,10450
204,43.0,89968,1140.0,69,1,1900.0,5,12950
205,44.0,89757,1045.0,110,1,1600.0,3,11500
206,40.0,85389,1075.0,110,1,1600.0,5,12500
207,43.0,85017,1060.0,97,0,1400.0,5,10950
208,41.0,84312,1080.0,110,0,1600.0,5,11450
209,37.0,82743,1121.0,110,1,1600.0,5,11950
210,41.0,81106,1140.0,69,1,1900.0,5,13250
211,40.0,80425,1205.0,90,1,2000.0,5,14750
212,34.0,78677,1105.0,110,1,1600.0,5,11790
213,40.0,78425,1075.0,110,1,1600.0,5,11450
214,33.0,78108,1170.0,90,1,2000.0,3,13500
215,33.0,77321,1075.0,110,1,1600.0,5,10950
216,33.0,75699,1105.0,69,0,1900.0,3,13500
217,41.0,75697,1025.0,97,1,1400.0,3,10950
218,44.0,74846,1025.0,97,1,1400.0,3,10950
219,38.0,74319,1075.0,110,1,1600.0,5,12950
220,43.0,74285,1075.0,110,1,1600.0,5,11950
221,44.0,74172,1320.0,110,1,1600.0,5,12450
222,40.0,73042,1075.0,110,1,1598.0,5,11950
223,44.0,71793,1067.0,110,1,1600.0,4,14950
224,35.0,71200,1075.0,110,1,1600.0,5,12450
225,38.0,67805,1075.0,110,1,1600.0,5,12950
226,35.0,65988,1040.0,110,1,1600.0,3,11950
227,34.0,65345,1060.0,97,1,1400.0,5,11690
228,42.0,64564,1080.0,110,1,1600.0,5,12450
229,36.0,63459,1060.0,97,1,1400.0,5,12750
230,44.0,63451,1025.0,97,0,1400.0,3,11925
231,33.0,62000,1075.0,110,1,1600.0,5,12950
232,42.0,61300,1030.0,97,1,1400.0,3,11950
233,41.0,61200,1045.0,110,1,1600.0,3,12900
234,41.0,61000,1075.0,110,0,1600.0,5,11900
235,38.0,60829,1075.0,110,1,1600.0,5,11650
236,44.0,60500,1075.0,110,0,1600.0,5,10950
237,35.0,59500,1110.0,69,1,1900.0,3,13950
238,44.0,59000,1110.0,110,0,1600.0,5,13950
239,40.0,58954,1080.0,110,1,1600.0,5,11950
240,38.0,58798,1075.0,110,1,1600.0,5,10950
241,38.0,58363,1055.0,110,1,1600.0,3,12450
242,43.0,58277,1045.0,110,1,1600.0,3,11950
243,33.0,57711,1165.0,90,1,2000.0,3,13500
244,33.0,57269,1075.0,110,1,1600.0,5,11690
245,39.0,56001,1075.0,110,1,1600.0,5,13500
246,42.0,55968,1050.0,110,0,1600.0,3,11950
247,39.0,55678,1030.0,110,1,1600.0,4,12900
248,43.0,55539,1085.0,110,1,1600.0,5,13500
249,42.0,55400,1075.0,110,0,1600.0,5,11750
250,33.0,55350,1075.0,110,0,1600.0,5,11750
251,43.0,54600,1030.0,110,0,1600.0,4,10850
252,43.0,53773,1075.0,110,1,1600.0,5,11750
253,42.0,53719,1105.0,110,1,1600.0,5,14950
254,39.0,53644,1075.0,110,1,1600.0,5,9940
255,42.0,53350,1075.0,110,0,1600.0,5,12900
256,38.0,53000,1075.0,110,1,1600.0,5,13500
257,44.0,52084,1025.0,97,1,1400.0,3,11750
258,44.0,52000,1025.0,97,0,1400.0,3,11950
259,33.0,51945,1075.0,110,1,1600.0,5,13450
260,41.0,51732,1025.0,97,1,1400.0,3,11950
261,39.0,50873,1075.0,110,1,1600.0,5,12495
262,41.0,50856,1030.0,110,0,1600.0,4,13500
263,40.0,50640,1075.0,110,1,1600.0,5,12750
264,39.0,50000,1060.0,97,1,1400.0,5,12000
265,38.0,49500,1075.0,110,1,1600.0,5,11950
266,44.0,49332,1080.0,110,1,1600.0,5,12495
267,34.0,49291,1040.0,110,1,1600.0,3,12450
268,40.0,48952,1205.0,90,1,2000.0,5,14750
269,39.0,48945,1040.0,110,0,1600.0,3,10950
270,33.0,48928,1105.0,69,1,1900.0,3,13500
271,38.0,48197,1075.0,110,1,1600.0,5,12950
272,35.0,48052,1105.0,69,1,1900.0,3,13500
273,34.0,48011,1030.0,110,1,1600.0,4,13450
274,43.0,48000,1075.0,110,1,1600.0,5,13500
275,41.0,47350,1075.0,110,1,1600.0,5,11480
276,39.0,46821,1060.0,97,1,1400.0,5,13450
277,39.0,46694,1040.0,110,0,1600.0,3,11495
278,43.0,46515,1025.0,97,0,1400.0,5,12750
279,38.0,46327,1055.0,110,1,1600.0,3,14990
280,35.0,46304,1060.0,97,1,1400.0,5,12950
281,40.0,45886,1080.0,110,1,1600.0,5,12950
282,39.0,45713,1085.0,97,1,1400.0,5,12850
283,40.0,45600,1105.0,110,1,1600.0,5,13950
284,41.0,45287,1075.0,110,1,1600.0,5,11950
285,39.0,45081,1075.0,110,1,1600.0,5,12950
286,40.0,44830,1075.0,110,1,1600.0,5,11700
287,37.0,44757,1025.0,97,0,1400.0,3,9950
288,44.0,44218,1060.0,97,1,1400.0,5,11895
289,43.0,43632,1075.0,110,1,1600.0,5,12950
290,36.0,43427,1040.0,110,1,1600.0,3,12500
291,39.0,43254,1075.0,110,1,1600.0,5,13875
292,35.0,43000,1050.0,110,0,1600.0,3,10500
293,33.0,42823,1075.0,110,1,1600.0,5,12295
294,42.0,42560,1080.0,110,1,1600.0,5,13950
295,38.0,41754,1040.0,110,0,1600.0,3,10950
296,44.0,41499,1103.0,110,1,1600.0,5,12950
297,40.0,41339,1080.0,110,1,1600.0,5,12850
298,35.0,41000,1075.0,110,1,1600.0,5,13995
299,39.0,40000,1055.0,110,1,1600.0,3,13750
300,37.0,39757,1075.0,110,1,1600.0,5,12750
301,41.0,39659,1045.0,110,1,1600.0,3,12500
302,43.0,39650,1055.0,110,0,1600.0,3,13950
303,39.0,39524,1025.0,97,1,1398.0,3,11500
304,44.0,39516,1060.0,97,1,1400.0,5,13950
305,41.0,39439,1060.0,97,0,1400.0,5,11895
306,44.0,39000,1025.0,97,1,1400.0,3,9950
307,42.0,38932,1040.0,110,1,1600.0,3,13500
308,37.0,38812,1025.0,97,0,1400.0,3,11450
309,42.0,38665,1075.0,110,1,1600.0,5,12450
310,40.0,38653,1080.0,110,1,1600.0,5,12950
311,44.0,38461,1080.0,110,1,1600.0,5,13995
312,42.0,38078,1025.0,97,0,1400.0,3,11750
313,39.0,37782,1060.0,97,1,1400.0,5,11650
314,43.0,37576,1030.0,97,0,1400.0,3,9950
315,41.0,37533,1075.0,110,1,1600.0,5,13950
316,44.0,37389,1080.0,110,1,1600.0,5,12950
317,38.0,37320,1025.0,97,1,1400.0,3,10950
318,42.0,37000,1025.0,97,1,1400.0,3,9900
319,44.0,37000,1075.0,110,0,1600.0,4,11950
320,40.0,36566,1090.0,110,0,1600.0,5,11990
321,36.0,36269,1075.0,110,1,1600.0,5,10750
322,37.0,36074,1075.0,110,1,1600.0,5,13950
323,44.0,36066,1040.0,110,1,1600.0,3,11250
324,39.0,34599,1075.0,110,1,1600.0,5,12950
325,41.0,34000,1075.0,110,1,1600.0,5,11950
326,42.0,33623,1025.0,97,1,1400.0,3,10950
327,33.0,33591,1075.0,110,1,1600.0,5,12950
328,35.0,33258,1075.0,110,1,1600.0,5,12950
329,43.0,33113,1075.0,110,1,1600.0,5,11695
330,41.0,33000,1075.0,110,1,1600.0,5,11000
331,35.0,32941,1080.0,110,1,1600.0,5,13950
332,38.0,32781,1075.0,110,0,1600.0,5,11950
333,40.0,32532,1040.0,110,1,1600.0,3,11750
334,34.0,32431,1060.0,97,1,1400.0,5,12400
335,35.0,32000,1040.0,110,0,1600.0,3,12500
336,33.0,31000,1075.0,110,1,1600.0,5,12900
337,41.0,30989,1045.0,110,0,1600.0,3,12200
338,43.0,30742,1040.0,110,1,1600.0,3,12750
339,42.0,30190,1075.0,110,1,1600.0,5,11950
340,41.0,29716,1075.0,116,1,1600.0,5,11900
341,44.0,29716,1070.0,110,1,1600.0,3,11950
342,42.0,29640,1055.0,110,0,1600.0,3,14950
343,41.0,29056,1060.0,97,1,1400.0,5,11950
344,33.0,28715,1075.0,110,1,1600.0,5,12950
345,41.0,28571,1090.0,110,0,1600.0,5,14950
346,40.0,28362,1040.0,110,1,1600.0,3,13450
347,38.0,28150,1075.0,110,1,1600.0,5,13750
348,43.0,27301,1040.0,110,1,1600.0,3,12950
349,33.0,27240,1075.0,110,1,1600.0,5,12750
350,39.0,27170,1060.0,97,1,1400.0,5,11895
351,42.0,27141,1060.0,97,1,1400.0,5,9950
352,38.0,26262,1075.0,110,1,1600.0,5,12450
353,38.0,26000,1060.0,97,1,1400.0,5,12500
354,43.0,25228,1045.0,110,1,1600.0,3,14950
355,39.0,25062,1080.0,110,1,1600.0,5,13750
356,39.0,24723,1060.0,110,1,1600.0,4,12695
357,33.0,24650,1055.0,110,1,1600.0,3,14990
358,43.0,24553,1080.0,110,1,1600.0,5,12750
359,41.0,24475,1030.0,110,1,1600.0,5,14350
360,39.0,24444,1040.0,110,1,1600.0,3,12950
361,35.0,24011,1025.0,97,0,1400.0,3,11500
362,41.0,24000,1025.0,97,1,1400.0,3,11950
363,40.0,23616,1075.0,110,1,1600.0,5,13450
364,38.0,22865,1075.0,110,1,1600.0,5,12900
365,41.0,22780,1035.0,86,1,1300.0,5,10500
366,35.0,21904,1025.0,97,0,1400.0,3,10950
367,41.0,21651,1025.0,97,0,1400.0,3,11950
368,37.0,21500,1030.0,110,1,1600.0,5,11450
369,44.0,21027,1080.0,110,1,1600.0,5,13250
370,39.0,18500,1030.0,110,0,1600.0,4,10250
371,35.0,18000,1075.0,110,1,1600.0,5,13995
372,40.0,17051,1060.0,97,0,1400.0,5,11950
373,33.0,16512,1085.0,97,1,1400.0,5,13250
374,40.0,16325,1080.0,110,1,1600.0,5,12950
375,38.0,16000,1060.0,97,1,1400.0,5,11750
376,39.0,12000,1075.0,110,1,1600.0,5,11500
377,43.0,10000,1060.0,97,1,1400.0,5,13500
378,53.0,216000,1110.0,69,0,1900.0,3,6500
379,51.0,198167,1095.0,69,0,1900.0,4,6400
380,53.0,176000,1105.0,69,0,1900.0,3,7000
381,54.0,174139,1100.0,72,1,2000.0,4,7750
382,45.0,174000,1095.0,69,1,1900.0,5,8900
383,55.0,150000,1075.0,110,1,1600.0,3,8500
384,54.0,149329,1135.0,72,1,2000.0,5,8950
385,51.0,146736,1080.0,110,1,1600.0,5,9900
386,53.0,143513,1140.0,69,0,1900.0,5,10250
387,48.0,142130,1119.0,110,0,1600.0,5,9250
388,48.0,140700,1110.0,69,1,1900.0,5,7750
389,54.0,138394,1095.0,69,1,1900.0,4,9450
390,55.0,137000,1135.0,72,1,2000.0,5,7750
391,52.0,135258,1140.0,69,1,1900.0,5,8250
392,49.0,131364,1075.0,110,1,1600.0,5,9950
393,56.0,129155,1110.0,69,0,1800.0,5,4450
394,50.0,126110,1055.0,110,0,1600.0,3,9950
395,48.0,119742,1080.0,110,1,1600.0,5,9000
396,53.0,117913,1110.0,69,1,1900.0,5,9950
397,47.0,117430,1165.0,90,1,2000.0,3,12450
398,55.0,117175,1035.0,110,1,1600.0,4,10500
399,54.0,115558,1035.0,110,1,1600.0,4,10750
400,53.0,115113,1025.0,97,1,1400.0,3,8950
401,54.0,115046,1140.0,69,1,1900.0,5,10500
402,56.0,113997,1135.0,72,1,2000.0,5,5150
403,49.0,107859,1060.0,97,0,1400.0,5,10950
404,52.0,104805,1025.0,97,1,1400.0,3,9450
405,54.0,103454,1075.0,110,1,1600.0,5,9950
406,51.0,103018,1140.0,69,0,1900.0,5,10950
407,47.0,102352,1080.0,110,1,1600.0,5,11900
408,50.0,102030,1060.0,97,1,1400.0,5,9950
409,54.0,101352,1080.0,110,0,1600.0,5,11950
410,50.0,99865,1035.0,110,1,1600.0,4,7900
411,52.0,99323,1055.0,110,1,1600.0,3,10950
412,48.0,98100,1140.0,69,1,1900.0,5,8950
413,51.0,98040,1080.0,110,0,1600.0,5,11950
414,49.0,97600,1045.0,110,1,1600.0,3,10900
415,55.0,97234,1080.0,110,0,1600.0,5,9950
416,51.0,96135,1115.0,72,0,2000.0,3,9950
417,54.0,96100,1080.0,110,1,1600.0,5,10950
418,55.0,94401,1115.0,72,0,2000.0,3,8950
419,55.0,94122,1015.0,86,1,1300.0,3,8950
420,49.0,91340,1055.0,110,1,1600.0,3,10500
421,53.0,90200,1025.0,97,0,1400.0,3,8950
422,53.0,90097,1140.0,69,1,1900.0,5,9250
423,48.0,89049,1060.0,97,1,1400.0,5,11500
424,52.0,89000,1075.0,110,0,1600.0,5,9750
425,45.0,87274,1040.0,110,1,1600.0,3,9950
426,49.0,86221,1045.0,110,0,1600.0,3,11450
427,54.0,84598,1075.0,110,0,1600.0,5,12500
428,50.0,83567,1075.0,110,0,1600.0,5,10500
429,50.0,83106,1075.0,110,1,1600.0,5,12950
430,50.0,82805,1040.0,110,1,1600.0,3,12200
431,50.0,82735,1030.0,97,1,1400.0,3,10950
432,54.0,81905,1105.0,110,1,1600.0,5,10950
433,49.0,80320,1070.0,110,1,1600.0,3,11290
434,49.0,80090,1030.0,97,1,1400.0,3,10750
435,53.0,79800,1075.0,110,0,1600.0,5,10895
436,47.0,78785,1119.0,110,1,1600.0,5,11500
437,48.0,78600,1075.0,110,1,1600.0,5,9750
438,55.0,77780,1040.0,110,0,1600.0,3,10250
439,49.0,77648,1030.0,110,0,1600.0,4,12500
440,54.0,77270,1035.0,110,1,1600.0,4,11950
441,50.0,76167,1060.0,97,1,1400.0,5,10750
442,46.0,75249,1035.0,110,1,1600.0,4,11450
443,54.0,75231,1080.0,110,1,1600.0,5,11950
444,48.0,75045,1055.0,110,1,1600.0,3,11750
445,50.0,74849,1060.0,110,1,1600.0,4,10950
446,55.0,74715,1080.0,110,1,1600.0,5,11950
447,49.0,74656,1105.0,69,0,1900.0,3,10995
448,56.0,74500,1025.0,97,0,1400.0,3,11450
449,49.0,74494,1075.0,110,1,1600.0,5,8900
450,50.0,73634,1075.0,110,0,1587.0,5,10500
451,47.0,73403,1075.0,110,1,1600.0,5,11750
452,49.0,73175,1030.0,97,1,1400.0,3,11450
453,52.0,73000,1055.0,110,0,1600.0,3,12000
454,50.0,72242,1070.0,110,0,1600.0,3,11950
455,53.0,72000,1025.0,97,1,1400.0,3,9850
456,54.0,71725,1035.0,110,1,1600.0,4,10950
457,54.0,71276,1080.0,110,0,1600.0,5,10950
458,50.0,70440,1105.0,69,1,1900.0,3,8695
459,53.0,70239,1040.0,110,0,1600.0,3,10990
460,55.0,69813,1025.0,97,1,1400.0,3,9500
461,49.0,69659,1025.0,86,0,1300.0,3,11950
462,46.0,69574,1065.0,97,0,1400.0,5,10750
463,47.0,69000,1140.0,69,1,1900.0,5,8750
464,49.0,68565,1030.0,110,1,1600.0,4,8750
465,55.0,68520,1115.0,72,1,2000.0,3,11450
466,46.0,68414,1025.0,97,0,1400.0,3,9950
467,56.0,66777,1090.0,110,0,1600.0,5,11950
468,52.0,66527,1080.0,110,1,1600.0,5,13950
469,54.0,66063,1090.0,110,1,1600.0,5,11250
470,50.0,65471,1060.0,97,1,1400.0,5,10900
471,56.0,65400,1025.0,97,1,1400.0,3,9750
472,52.0,65170,1025.0,97,1,1400.0,3,9950
473,56.0,65000,1075.0,110,1,1600.0,5,11950
474,48.0,64193,1040.0,110,1,1600.0,3,10450
475,54.0,64000,1025.0,97,1,1400.0,3,8950
476,54.0,63792,1075.0,110,1,1600.0,5,10250
477,53.0,63635,1035.0,110,1,1600.0,4,9930
478,54.0,63135,1050.0,110,1,1600.0,3,10500
479,54.0,63123,1035.0,110,1,1600.0,4,11950
480,48.0,63000,1140.0,69,1,1900.0,5,11500
481,55.0,63000,1035.0,110,0,1600.0,4,11500
482,54.0,62987,1080.0,110,0,1600.0,5,11450
483,56.0,62751,1050.0,110,0,1600.0,3,9900
484,54.0,62519,1025.0,97,0,1400.0,3,9500
485,50.0,62280,1060.0,97,1,1400.0,5,10500
486,50.0,61672,1075.0,110,0,1600.0,5,10750
487,54.0,61000,1140.0,69,0,2000.0,5,8950
488,56.0,61000,1050.0,110,1,1600.0,3,12000
489,53.0,60558,1105.0,110,1,1600.0,4,9940
490,47.0,60348,1030.0,110,0,1600.0,4,10950
491,54.0,60239,1075.0,110,1,1600.0,5,10750
492,51.0,59000,1025.0,97,1,1400.0,3,9799
493,51.0,58761,1060.0,97,0,1300.0,5,11750
494,54.0,58745,1035.0,110,1,1600.0,4,11950
495,52.0,58596,1045.0,110,1,1600.0,3,11250
496,54.0,58530,1075.0,110,0,1600.0,5,11750
497,55.0,58377,1050.0,110,1,1600.0,3,10950
498,56.0,58142,1080.0,110,1,1600.0,5,11250
